id,title,original_title,features,overview,poster_path
1220564,El agente secreto,O Agente Secreto,crimen drama suspense 1970s secretagent dictatorship brazil farcical wagnermoura carlosfrancisco tâniamaria robériodiógenes klebermendonçafilho,"En 1977, durante la dictadura militar brasileña, Marcelo, un profesor que huye de un pasado turbulento, regresa huyendo a la ciudad de Recife, donde espera construir una nueva vida y reencontrarse con su hijo. Pero pronto se da cuenta de que la ciudad está lejos de ser el refugio que busca, que las fuerzas gubernamentales le persiguen y las amenazas de muerte se ciernen sobre él.",/t1DQ4XXIqTm5LvUjz8jypN43JjZ.jpg
1247002,La anciana con el cuchillo,파과,acción misterio drama basedonnovelorbook 이혜영 김성철 연우진 김무열 민규동,"A sus 65 años, Hornclaw es una legendaria asesina que empieza a sentir el peso del tiempo. Mientras su cuerpo falla y considera el retiro, se ve acechada por un joven sicario sediento de venganza y por un inesperado despertar de su propia humanidad que pone en peligro su última misión.",/A9yJjkI7GdqeFYMyUe4PebA2NIw.jpg
533533,TRON: Ares,TRON: Ares,cienciaficción aventura acción artificialintelligence(a.i.) computerprogram simulation computersimulation sequel businessrivalry realworld absurd digitalworld jaredleto gretalee evanpeters gilliananderson joachimrønning,"Un programa altamente sofisticado llamado Ares es enviado del mundo digital al mundo real en una misión peligrosa, marcando el primer encuentro de la humanidad con seres de IA.",/dz1PbMrkpVhURKtvv7w2Ib1iZDK.jpg
1223601,Sisu: Camino a la venganza,Sisu 2,acción bélica sequel karelia hilarious amused enraged venganza secuela jormatommila stephenlang richardbrake tommikorpela jalmarihelander,"En plena Segunda Guerra Mundial, un hombre conocido como ""el hombre que se niega a morir"" regresa a la casa donde su familia fue brutalmente asesinada. Con determinación, desmantela la casa, la carga en un camión y se propone reconstruirla en un lugar seguro en honor a sus seres queridos. Cuando el comandante del Ejército Rojo responsable de la masacre regresa decidido a eliminarlo, se desata una implacable y espectacular persecución a través del país. La película está llena de escenas de acción trepidantes y una lucha a muerte, reafirmando la leyenda de un guerrero solitario que no se detiene ante nada ni nadie. ""Sisu: Camino a la venganza"" es una secuela de la exitosa ""Sisu"" (2022) y combina aventura, acción y drama de guerra con influencias de Indiana Jones y James Bond bajo la dirección de Jalmari Helander.",/mM92ShBRS17LdUemUY2ca79EyMo.jpg
1301122,Erbsünde - Veil of Sin,Erbsünde - Veil of Sin,terror acción cienciaficción worldwarii woods supersoldier ironmask secretlaboratory secretexperiment axe erkansulcani linusgomolka romanboeerdegarcez leontinslavkov ahmedchaer,,/3daBOc5ZcICXMzAVNhzJTSgweaP.jpg
76600,Avatar: El camino del agua,Avatar: The Way of Water,acción aventura cienciaficción dyinganddeath lossoflovedone alienlife-form resurrection dysfunctionalfamily sequel alienplanet distantfuture adoptedchild rebirth familydynamics adoptedson strongervillain war awestruck modest samworthington zoesaldaña sigourneyweaver stephenlang jamescameron,"Más de una década después, los hombres del cielo regresan a Pandora. Entonces Jake Sully, Neytiri y sus hijos deciden hacer un gran sacrificio para mantener a su pueblo a salvo y seguir con vida.",/oIVSTKNyKvjm4NmmJi4zjQqHJ02.jpg
1196067,Worldbreaker,Worldbreaker,cienciaficción acción terror monster climatechange globalwarming millajovovich lukeevans billieboullet meadowwilliams bradanderson,Un padre esconde a su hija en una isla para mantenerla a salvo mientras la equipa para la supervivencia y las batallas que se avecinan.,/7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg
1366745,Papá x dos,Papá x dos,familia comedia romance benjamínvicuña celestecid lucasakoskin maríagraciaomegna hernánguerschuny,"Santiago sueña con formar una familia con Ana y todo parece ir en esa dirección cuando ella le anuncia que está embarazada. ¡El único problema es que también le cuenta que el papá, es su Ex!",/yd1FqtFNV7ubC1PvnwN6Qfl0hkB.jpg
1062722,Frankenstein,Frankenstein,drama fantasía terror monster basedonnovelorbook supernatural surgeon madscientist reanimation fathersonrelationship mothersonrelationship frankenstein oscarisaac jacobelordi christophwaltz miagoth guillermodeltoro,"El Dr. Victor Frankenstein, un científico brillante pero egoísta, da vida a una criatura en un monstruoso experimento que finalmente conduce a la ruina tanto del creador como de su trágica creación.",/hTj8x0ElKldJyAjTYvaqxkQNxxN.jpg
1181765,Die Schule der magischen Tiere 3,Die Schule der magischen Tiere 3,familia fantasía comedia basedonnovelorbook sequel children'sadventure magicschool emiliapieske lorissichrovsky luisvorbach emiliamaier svenunterwaldtjr.,,/66aiD6UUkAd4Iloj7rPtWN3gKxT.jpg
1034716,Gente que conocemos en vacaciones,People We Meet on Vacation,romance comedia drama friendship basedonnovelorbook romcom grief summervacation trust secondchance nostalgic speculative zealous mischievous feelgood heartfelt grand absurd incredulous egotistical depressing whimsical ambiguous conceited dubious farcical hum optimistic pretentious ridiculous subjective vibrant kilig emilybader tomblyth sarahcatherinehook jameelajamil bretthaley,"Poppy es espontánea. Alex necesita un plan para todo. Tras años de viajar juntos, estos amigos muy distintos entre sí se preguntan si podrían ser la pareja perfecta.",/9SUEbyc5OUaNkGPLK3f1w3Ryoyo.jpg
1195518,Maldita Trinidad,The Unholy Trinity,western aventura crimen montana falseaccusations 19thcentury imminentexecution 1870s independentfilm piercebrosnan samuell.jackson brandonlessard veronicaferres richardgray,Los secretos enterrados de un pueblo de Montana en la década de 1870 provocan una oleada de violencia cuando un joven regresa para reclamar su legado y queda atrapado entre un sheriff decidido a mantener el orden y un misterioso extraño empeñado en destruirlo.,/g6QtO93J2nVkJ8BduNE1WS9Fg2h.jpg
639988,La única opción,어쩔수가없다,crimen suspense comedia basedonnovelorbook remake unemployment paperindustry unemployed devotedfamilyman hilarious blackcomedy leebyunghun 손예진 박희순 이성민 parkchan-wook,"Después de estar desempleado durante varios años, un hombre idea un plan único para conseguir un nuevo trabajo: eliminar a su competencia.",/wqQPjI8RpXL9q9INsGr0UbQhkzA.jpg
1234731,Anaconda,Anaconda,aventura comedia terror snake animalattack amazonrainforest filminfilm jungle reptile anaconda reboot animalhorror meta jackblack paulrudd stevezahn thandiwenewton tomgormican,"Doug y Griff, amigos de toda la vida, atraviesan una crisis de mediana edad y deciden realizar el remake de su película favorita de su juventud: Anaconda (1997). Viajan a la selva amazónica para filmar su versión, pero pronto descubren que una anaconda real los acecha, convirtiendo su proyecto cinematográfico en una lucha por sobrevivir. La película combina comedia, acción y terror en una experiencia cinematográfica única.",/hENLu86h3zljg0x8bdy8cOUxZF5.jpg
840464,El Día Del Fin Del Mundo: Migración,Greenland 2: Migration,acción aventura suspense cienciaficción naturaldisaster shelter survival disaster gerardbutler morenabaccarin tommieearljenkins trondfausaaurvåg ricromanwaugh,La familia Garrity debe abandonar la seguridad del búnker de Groenlandia y embarcarse en un peligroso viaje a través del diezmado páramo helado de Europa para encontrar un nuevo hogar.,/q7aijAKE98Fcp6dgR6oWiUkFO2g.jpg
798645,El sobreviviente,The Running Man,acción suspense cienciaficción basedonnovelorbook darkcomedy survival ontherun televisionnetwork nearfuture malicious depressing meanspirited dystopianfuture dystopiansci-fi glenpowell colmandomingo joshbrolin williamh.macy edgarwright,"Un hombre se une a un programa de juegos en el que los concursantes, a los que se les permite ir a cualquier parte del mundo, son perseguidos por cazadores empleados para matarlos.",/qlDwhPwaCGXAPCtT2gDgON7AZBr.jpg
1539104,JUJUTSU KAISEN: Ejecución,劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」,animación acción compilation basedonmanga editedfromtvseries shounen anime distressing 榎木淳弥 緒方恵美 遊佐浩二 浪川大輔 御所園翔太,"Durante Halloween en Shibuya, un misterioso velo atrapa a la multitud dentro del distrito. Como consecuencia, diez colonias japonesas se convierten en zonas dominadas por maldiciones.",/c0gwM59dS7ZvX56SIP1FU5LHB9B.jpg
19995,Avatar,Avatar,acción aventura fantasía cienciaficción paraplegic attachmenttonature cultureclash indigenous spacetravel spacecolony tribe alienplanet distantfuture marine battle loveaffair scientist nature nativepeoples powerrelations tribalcustoms tribalpeople tribalchief cryonics spiritualcommunity 22ndcentury savetheplanet racialdiscrimination soldiers awestruck bold exhilarated samworthington zoesaldaña sigourneyweaver stephenlang jamescameron,"Jake Sully, un soldado parapléjico, ha sido designado para ir a la luna Pandora, habitado por una raza de humanoides extraterrestres inteligentes llamados Los Na'vi, en una misión única a través de un avatar.",/8zHIgB6tP34Ie34ddllzLg3F4YP.jpg
1236153,Sin piedad,Mercy,"cienciaficción acción suspense raceagainsttime artificialintelligence(a.i.) losangeles,california falseaccusations innocentsuspect criminaljusticesystem nearfuture screenlife crime chrispratt rebeccaferguson kalireis annabellewallis тимурбекмамбетов","En un futuro próximo, un detective es acusado de asesinar a su esposa. Tiene 90 minutos para demostrar su inocencia ante la Jueza de la inteligencia artificial avanzada, a la que él mismo defendió en su día, antes de que esta decida su destino.",/tgmtRhwt3NuWXF9piH1pA7CEQA5.jpg
1432046,남친깨기전에빨리빼!,남친깨기전에빨리빼!,softcore 윤율 민도윤,,/g0NN2e7WXekSGFyjtf4fTLEsOEh.jpg
1387382,Hunting Season,Hunting Season,acción drama suspense melgibson shelleyhennig jordimollà sofiahublitz rajacollins,"Cuando una misteriosa joven aparece en la orilla de un río local, tanto la niña de doce años que la descubre como su sobreprotector padre cambian para siempre con la llegada de esta extraña a su hogar. Mientras, un despiadado capo de la droga no se detendrá ante nada para matarla de una vez por todas.",/cbryTyaWdqrKpQCw6K7zm2jrB5v.jpg
911430,F1 la película,F1,acción drama comeback racing racecardriver sportcompetition beforecreditsstinger rookie formulaone(f1) motorsport inspirational carracing euphoric exhilarated sport bradpitt damsonidris javierbardem kerrycondon josephkosinski,"El piloto legendario Sonny Hayes es convencido de salir de su retiro para liderar a un equipo de la Fórmula 1 en dificultades y ser mentor de un joven piloto talentoso, mientras se busca una última oportunidad de gloria.",/yKIG63pXN89EfbTA7yKpwxAU1rf.jpg
1234821,Jurassic World: Renace,Jurassic World Rebirth,cienciaficción aventura acción island secretmission stranded dinosaur family geneticexperiment scarlettjohansson mahershalaali jonathanbailey rupertfriend garethedwards,"Cinco años después de los acontecimientos de Jurassic World Dominion, Zora Bennett, una experta en operaciones encubiertas, es contratada para dirigir a un equipo de especialistas cuya misión es conseguir fabricar un medicamento hecho de ADN de tres criaturas más grandes para la raza humana.",/v49ceVcpW4Vj0tveTWlzrRdsFf4.jpg
1033462,oficina 749,749局,acción aventura cienciaficción joyful mezcladocumentalyficción 王俊凯 苗苗 鄭愷 任敏 陆川,"En un futuro próximo, la Tierra enfrenta un desastre catastrófico causado por una criatura desconocida. Ma Shan, un joven marginado se une a la misteriosa Oficina 749 para enfrentar la crisis.",/8bfjeNVlyhYPMxEmeWeWVyAizoo.jpg
157336,Interestelar,Interstellar,aventura drama cienciaficción rescue future spacecraft raceagainsttime artificialintelligence(a.i.) nasa timewarp dystopia expedition spacetravel wormhole famine hibernation blackhole quantummechanics familyrelationships space robot astronaut scientist singlefather farmer spacestation spaceadventure timeparadox cryonics fatherdaughterrelationship 2060s cornfield timemanipulation matthewmcconaughey annehathaway michaelcaine jessicachastain christophernolan,Cooper y un grupo de exploradores utilizan un agujero de gusano recién descubierto para superar las limitaciones de los viajes espaciales humanos y conquistar las vastas distancias que implica un viaje interestelar.,/cQuuBjG78j4b2r1dFpAjnjbUplv.jpg
1471345,Homo Argentum,Homo Argentum,comedia dreary guillermofrancella clarakovacic evadedominici miguelgranados marianocohn,"El film está compuesto por 16 mini películas cuya duración varía entre 1 y 12 minutos, todas protagonizadas por Guillermo Francella en muy diferentes roles. Cada una es autónoma, pero la suma de todas ellas construye una reflexión sobre el presente en tono de comedia, con una aguda crítica social.",/vMYmuhxadE7RmuB3sEKZU2yDKLW.jpg
1282440,Happy Patel: Khatarnak Jasoos,Happy Patel: Khatarnak Jasoos,comedia acción romance hilarious virdas monasingh mithilapalkar sharibhashmi virdas,,/vsCkxiY2c26C6y4RyTVkpdXIfCW.jpg
